WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.30969255237493 -5.22758862096662, 120.31013815158829 -5.22753626893104, 120.31078402011104 -5.227483916891066, 120.31099930961862 -5.228064774994154, 120.31110445100602 -5.228286647689607, 120.31123712942352 -5.228628181909851, 120.3113297539791 -5.2289522653042315, 120.31137481457372 -5.229206546003903, 120.31143990209928 -5.229610403373454, 120.31164768150775 -5.230016753426772, 120.31122961932442 -5.230081569975306, 120.31116453179888 -5.229804853125133, 120.31111446447154 -5.229737543602553, 120.31098428942045 -5.229587966859766, 120.31084410090386 -5.229415953561387, 120.31073645615007 -5.229136743469178, 120.31060753278217 -5.228811413695741, 120.31057248565301 -5.228666822631062, 120.31048737119654 -5.22855713283558, 120.31038222980912 -5.228472372525914, 120.31018821891564 -5.228366422122695, 120.3099153519816 -5.228255485798918, 120.30974387138546 -5.22817820430334, 120.30970006247404 -5.228127098792963, 120.30968128722628 -5.228071007374316, 120.30967878385991 -5.227955085093214, 120.30969255237493 -5.22758862096662))",Sulawesi Selatan,73,Sinjai,07,Tellulimpoe,08,Bua,2008,2008-Desa Bua,2.45469942741,26.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Takkalala
"POLYGON ((120.31075690477823 -5.224233626913611, 120.31138929915734 -5.224235108719246, 120.31155744166283 -5.22452998797181, 120.31168392053867 -5.225045655878956, 120.3120514532719 -5.225041210467763, 120.31218239610806 -5.225856201990065, 120.31208418898095 -5.225881392620224, 120.31192348640931 -5.225820638745762, 120.31193836627705 -5.225713949000732, 120.31178659162607 -5.225656158714598, 120.31174790396993 -5.225771739281547, 120.31160952119994 -5.225739139636608, 120.31158868938506 -5.225783593697462, 120.31158868938506 -5.225848792981008, 120.31150238615214 -5.2258858380254445, 120.31132829169957 -5.225885838025439, 120.31104408622562 -5.225903619645999, 120.31083576807723 -5.225925846670975, 120.31038937204494 -5.225971782520112, 120.30972572994354 -5.225951037298348, 120.30963496275031 -5.225835456764466, 120.30975995363939 -5.225696167374788, 120.3101230224123 -5.225181981806458, 120.31043549963492 -5.2247611494999076, 120.31074351289725 -5.224281044692344, 120.31075690477823 -5.224233626913611))",Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Sanjai,2002,2002-Desa Sanjai,3.35215381716,23.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Takkalala
