WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.25274774746975 -5.126825027795548, 120.25493068294209 -5.127662793263575, 120.25455017125424 -5.128424095057035, 120.2540561736244 -5.128168111585862, 120.25376244530395 -5.128045106504763, 120.25365897282747 -5.128078351123619, 120.25291130073906 -5.127765851638097, 120.2524617531672 -5.127591814873581, 120.25274774746975 -5.126825027795548))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT02_RW01 LOMPU,2.30211131848,46.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Mangottong
"POLYGON ((120.25649111464438 -5.125696369802338, 120.25697342989783 -5.125965652155665, 120.25693003821414 -5.126086995401228, 120.2571953950491 -5.126243245573899, 120.25725046910915 -5.1263645887667275, 120.25749913683498 -5.126529150046194, 120.25750414356772 -5.126859934711992, 120.25740234000206 -5.126886530456567, 120.25663464098275 -5.126921437369655, 120.2561322987984 -5.126692049048741, 120.25614731899661 -5.126579017092209, 120.25631587899868 -5.126028817135688, 120.25649111464438 -5.125696369802338))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT01_RW01 MATTOANGING,1.30032554706,36.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Mangottong
"POLYGON ((120.24153325624142 -5.136201163685208, 120.24126734981509 -5.136290837567971, 120.24140424074949 -5.1366189737602665, 120.24153267389153 -5.136696035933177, 120.24169442171062 -5.136629800415445, 120.24178467169176 -5.136869829785228, 120.24224696001427 -5.136781732755629, 120.2424071754618 -5.137089241202236, 120.24234542575806 -5.137275408405904, 120.24233040555985 -5.137481522032274, 120.2424796973267 -5.138019308992202, 120.2406181029646 -5.138241981004438, 120.24054467088449 -5.138241981004431, 120.24051963722081 -5.137472379897045, 120.24088345979956 -5.137435811354768, 120.24133072792385 -5.137366829780689, 120.24112545188167 -5.136143444479363, 120.24148092990588 -5.136061996189787, 120.24153325624142 -5.136201163685208))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT01_RW03 BIRINGERE,2.67435528486,43.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Mangottong
"POLYGON ((120.24678208385787 -5.135417724413573, 120.24705342343954 -5.134881825928247, 120.24730376007626 -5.134323322057031, 120.24785674270562 -5.134526907072239, 120.24759248166396 -5.135077967052656, 120.24739054344367 -5.134976572072145, 120.24711016641054 -5.135541724216994, 120.24730376007626 -5.135707945340722, 120.2472086321543 -5.135932343789017, 120.24695495769576 -5.135781082621428, 120.24678208385787 -5.135417724413573))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT03_RW01 BIRINGERE,0.83587744072,42.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Mangottong
