WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.2525613857513 -5.118789183246857, 120.25273643596248 -5.11873303596229, 120.25287648786892 -5.118507121218175, 120.25292532647505 -5.118433074631396, 120.2529747930362 -5.118358075939891, 120.25300976481073 -5.118414718320269, 120.25303798941354 -5.118502392306526, 120.25320847655554 -5.118562608905211, 120.25391630542545 -5.118820634967618, 120.2539532102533 -5.118834087924798, 120.25389822027121 -5.119011703079004, 120.25385569068457 -5.119143495971731, 120.25355499568359 -5.119425283100307, 120.2533370243048 -5.119990502587646, 120.25325565269053 -5.119956454625198, 120.25248414132191 -5.119656897187853, 120.25245012502388 -5.1193299699984145, 120.2525613857513 -5.118789183246857))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT01_RW02 PARUNTU,1.77134188814,39.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Paruntu
"POLYGON ((120.2410685234763 -5.108572882100929, 120.24123467282924 -5.10837045311135, 120.24130235078844 -5.108286512654012, 120.24170308607674 -5.108529710821736, 120.24199679547698 -5.108709091414388, 120.24218590917266 -5.108813906175644, 120.2424583179536 -5.108956137111761, 120.24277518064785 -5.109018466118432, 120.24301832684105 -5.109033856693449, 120.24324953581619 -5.1090527821146265, 120.243552005605 -5.109135371047459, 120.24389601326132 -5.109262368967204, 120.24416604366694 -5.109403393833485, 120.2444453920557 -5.109595861768552, 120.24504015173709 -5.109911618112923, 120.24494007512729 -5.110174180586512, 120.24488934296424 -5.110183719023542, 120.2448161556454 -5.110322708128049, 120.2447761017835 -5.110409146528637, 120.24476497571075 -5.110475637598094, 120.2447716513544 -5.110539912292001, 120.24479167828535 -5.110573157820813, 120.24479167828535 -5.110657379819356, 120.24474272356527 -5.110717221759004, 120.24467151669973 -5.110779280060851, 120.24464926455423 -5.110865718399864, 120.24464926455423 -5.110923343952668, 120.2448310193584 -5.111031067522898, 120.24482783300218 -5.111107082574407, 120.24468927093244 -5.111391953308366, 120.24461310348323 -5.111471958088243, 120.24457911904884 -5.1117242847440645, 120.24441336107226 -5.1116776678782445, 120.24443126496251 -5.111505604358953, 120.2443628948629 -5.111435019678386, 120.24428040857067 -5.111319904675713, 120.24417892520736 -5.111297950747092, 120.24407070877156 -5.11130234265191, 120.24378365609476 -5.111142764279578, 120.24377547204494 -5.111043519670363, 120.24387264853853 -5.110959164785251, 120.24389303838146 -5.110941352953608, 120.24393596706972 -5.110903851992145, 120.24387146319457 -5.110734369731556, 120.24382284127465 -5.110593512780591, 120.24390384549473 -5.11056275011064, 120.24388119466587 -5.11044350024872, 120.2437892191312 -5.110159804956747, 120.24347768909438 -5.110258802807259, 120.24337532922517 -5.110051941609662, 120.2434257674216 -5.109882019861656, 120.24350959852096 -5.109838157039051, 120.2435037908762 -5.109737894178327, 120.24363545837483 -5.109726984273491, 120.24393125385103 -5.109697653238588, 120.24393912108091 -5.109642219584311, 120.24373729745842 -5.109517057346222, 120.24349901056996 -5.10943490119088, 120.24339720736175 -5.109681968438133, 120.24314687386483 -5.1096219656208905, 120.2429480880318 -5.109571727857709, 120.24272408310053 -5.109497848787004, 120.24266661541543 -5.109559328070361, 120.24195721528972 -5.109132338148564, 120.24172847791762 -5.109093100799053, 120.2410685234763 -5.108572882100929))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT02_RW01 Popanda,4.04712422277,35.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Paruntu
"POLYGON ((120.25361205916278 -5.1178623849441705, 120.25424821921233 -5.118090811321625, 120.25504993766647 -5.118413669126685, 120.25473966263489 -5.119152548697214, 120.25464842679393 -5.1191109830330985, 120.25398365988235 -5.11884518775966, 120.25320847655554 -5.118562608905211, 120.25303798941354 -5.118502392306526, 120.25300976481073 -5.118414718320269, 120.25287359842272 -5.118194175049728, 120.25265986122996 -5.117991230271641, 120.25241864698039 -5.117801317255826, 120.25238687557491 -5.117703155788806, 120.25238546584602 -5.117621084534507, 120.252384828407 -5.117568302734468, 120.25260209324036 -5.117615139715303, 120.25325183365509 -5.117790069848318, 120.25361205916278 -5.1178623849441705))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT02_RW02 PARUNTU,2.24797112276,25.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Paruntu
"POLYGON ((120.25222166966347 -5.114925352035353, 120.25242056697606 -5.114784004735758, 120.25264127163825 -5.115018821901066, 120.25313131267151 -5.115514396881353, 120.25327598236143 -5.115690491884954, 120.25346645168277 -5.115902490638589, 120.2535268267868 -5.116033953190289, 120.25356694501933 -5.11635545661337, 120.25356832514389 -5.11670261514523, 120.2534974593381 -5.11667626887865, 120.25298862694464 -5.116439858445362, 120.25265039433323 -5.116135479883899, 120.2525446541864 -5.115811932606842, 120.2523864693662 -5.115666368003732, 120.25213115904761 -5.115483089291234, 120.2518641805202 -5.11528388801447, 120.25193832567761 -5.115142554638166, 120.25222166966347 -5.114925352035353))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT04_RW02 PARUNTU,1.6752873601,27.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Paruntu
"POLYGON ((120.2525292045234 -5.114589660616503, 120.25259364391594 -5.114392830074413, 120.25262548092178 -5.114314089071866, 120.25288627153114 -5.114442401213921, 120.25334217754616 -5.114667184376602, 120.25390186984164 -5.114933535175839, 120.25423016698878 -5.115111866374356, 120.25455749837401 -5.115293062392267, 120.25453352287704 -5.115371080300946, 120.2545024889285 -5.115443928920551, 120.25455249148219 -5.115469185418679, 120.25423326361556 -5.116306877538247, 120.25359235703945 -5.116042627463256, 120.25351703286165 -5.115958789169382, 120.25346645168277 -5.115902490638589, 120.25327598236143 -5.115690491884954, 120.25313131267151 -5.115514396881353, 120.25297833304987 -5.115359689766901, 120.25273552850341 -5.115114143249603, 120.25264127163825 -5.115018821901066, 120.25250034101738 -5.114868879781215, 120.25249786638808 -5.114848809465357, 120.25250002886938 -5.114830926976674, 120.2525292045234 -5.114589660616503))",Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT05_RW02 PARUNTU,2.43527212398,23.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Paruntu
