WKT,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan
"POLYGON ((120.27547080461414 -5.1690442217014825, 120.27568307252395 -5.169075932389779, 120.27569497641814 -5.168688653157254, 120.27569894438288 -5.168496989367838, 120.27589932660183 -5.168331012431204, 120.27633778670464 -5.168332988347376, 120.27636357847541 -5.168696556817405, 120.27639135422855 -5.168809183964168, 120.27642706591114 -5.169143113457043, 120.27639135422855 -5.169342680703033, 120.27635365856362 -5.16964894714638, 120.2762782672337 -5.1698010923567015, 120.27622469970984 -5.170032273969948, 120.27613528325026 -5.1703602140323515, 120.27585131421189 -5.170395453799612, 120.27578128390034 -5.170265087825253, 120.27569613889828 -5.170100227935147, 120.27562924339563 -5.169682967609186, 120.27566903415963 -5.169300594855131, 120.2754747634962 -5.169225163726456, 120.27547080461414 -5.1690442217014825))",Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Panaikang,2004,2004-Desa Panaikang,1.64000314679,21.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Marana
"POLYGON ((120.28151570415922 -5.1774588215857005, 120.28131723666053 -5.177098090231269, 120.28108035901961 -5.176724090768936, 120.28095344437583 -5.176623127360567, 120.28088405110284 -5.176454987447798, 120.2806463434563 -5.176498437077295, 120.28056486993874 -5.176143754451128, 120.28039402907261 -5.175942184187798, 120.28021555588481 -5.175852475605541, 120.28010626115558 -5.175981114978199, 120.28029905487516 -5.176068016044329, 120.28029945549574 -5.176309021242259, 120.28037963704485 -5.176296454869033, 120.28042593846526 -5.176621192946898, 120.28033799114982 -5.176644378151305, 120.28040643854146 -5.176828135914978, 120.28047934989341 -5.176820726328745, 120.28051803754956 -5.176882966850236, 120.28062814857084 -5.176921496693796, 120.28069064401535 -5.177128965041836, 120.2805686290999 -5.177191205532995, 120.28076801932768 -5.177407565287844, 120.28087366638863 -5.1776387441221905, 120.2809450897538 -5.177625406884065, 120.28109984037833 -5.177920307972953, 120.28117742204591 -5.178218152295639, 120.28096849102407 -5.178124108879376, 120.28089443935777 -5.178041543394963, 120.28082867300213 -5.177805995376773, 120.28078921482738 -5.177664284035848, 120.28063352959214 -5.177487644163486, 120.2804569734129 -5.177284136437941, 120.28033176365032 -5.177119103904369, 120.28016663792896 -5.176919470771774, 120.28001927922267 -5.176580285041943, 120.27967734861963 -5.176562224390689, 120.2797941319838 -5.176344289753133, 120.27986257937545 -5.176375410038084, 120.27991168293899 -5.176341325916381, 120.27994293066126 -5.176222772435328, 120.27991465891252 -5.176139784985371, 120.27962152551808 -5.175924906716135, 120.27979710795742 -5.175658161176907, 120.27965426122705 -5.175465511550835, 120.2798149637987 -5.175278789549565, 120.2800351858413 -5.175068356751936, 120.28043471029024 -5.175226922317228, 120.28074421153929 -5.175434391221125, 120.28091681800511 -5.175558872530794, 120.28110132836515 -5.17564778773699, 120.2812322712013 -5.1757959797195445, 120.28126798288388 -5.176003448436793, 120.28128286275161 -5.176101255094192, 120.28132155040774 -5.176199061736456, 120.28137511793165 -5.176299832200544, 120.2814792770058 -5.176388747302555, 120.28153284452968 -5.176504336916553, 120.28158046010645 -5.176717733071444, 120.28165188347167 -5.176895563145518, 120.28168164320716 -5.177008188833192, 120.281794730202 -5.177304572126097, 120.28180365812267 -5.177357921104064, 120.28172330683685 -5.177440908394164, 120.28162509970971 -5.177384595591351, 120.28154102845694 -5.1774372036046845, 120.28151570415922 -5.1774588215857005))",Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Pasimarannu,2010,2010-Dusun Passahakua Desa Passimarannu,3.0476727604,32.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Marana
"POLYGON ((120.2830992882474 -5.182773864341346, 120.28272829499095 -5.182818669389648, 120.2827325839272 -5.182931060684056, 120.2825964900013 -5.182968730256228, 120.28260410656944 -5.183418254382203, 120.28263935620863 -5.183540342418131, 120.28275390576836 -5.183521707577497, 120.28300746581986 -5.183341088225487, 120.28313421513035 -5.183257951088668, 120.2831948761398 -5.183201272435937, 120.28348841509047 -5.183413882325321, 120.28361826864298 -5.183945773146283, 120.28336275036214 -5.18401252019808, 120.28306953266288 -5.183445170033058, 120.28292082940108 -5.183449341727281, 120.28268625524166 -5.183655840558242, 120.28244749225792 -5.18366418394392, 120.28243283137297 -5.184183559486066, 120.28233648841466 -5.1842544782016535, 120.28229250575974 -5.184452633394148, 120.28237418783313 -5.18446932014432, 120.2824453978458 -5.185070042858353, 120.28212285837658 -5.185072128700112, 120.28210819749162 -5.185307828774754, 120.28183801832586 -5.185230652653791, 120.28183801832583 -5.184690419543041, 120.28200347688474 -5.184692505386081, 120.28200347688474 -5.184565268949528, 120.28184220715012 -5.184490178581467, 120.28182754626515 -5.1844046589848265, 120.28190713392634 -5.184287851712111, 120.28189456745353 -5.183778905485963, 120.28213751926152 -5.183714244255708, 120.28230716664469 -5.182782913221546, 120.28189561465958 -5.182792299543412, 120.28179194125877 -5.182867390113288, 120.28105051936201 -5.183023828771921, 120.2809217130155 -5.182541997579283, 120.28090809933668 -5.182500280575637, 120.28109869084122 -5.182446048466719, 120.28127043263653 -5.182350099339654, 120.281247394103 -5.1821582010416805, 120.28152804532948 -5.182093539645559, 120.28155946151153 -5.1822833521121785, 120.28211029190379 -5.182181145406484, 120.28207887572174 -5.181997590464914, 120.28206002601249 -5.181743116480438, 120.28210191425526 -5.181586677504678, 120.28230297782048 -5.181636737981135, 120.28238465989386 -5.181674283335878, 120.28252498550711 -5.181670111629877, 120.28254592962848 -5.181597106770926, 120.28255640168915 -5.1814260667826035, 120.28253755197993 -5.181271713582656, 120.28250194697358 -5.181144476457058, 120.28248728608861 -5.181025582726369, 120.28234067723896 -5.180946320226811, 120.2823595269482 -5.180764850782508, 120.28229460017195 -5.180623012559856, 120.2822212957471 -5.180485346019211, 120.28219616280145 -5.180272588579211, 120.28212704720089 -5.180134921962176, 120.28199091041192 -5.180026457333751, 120.28209981984311 -5.179776154274011, 120.28230716664474 -5.17979075528853, 120.28251032462214 -5.1798491593433384, 120.2825354575678 -5.179676033022352, 120.28272814348446 -5.179569654175079, 120.282857997037 -5.179536280415347, 120.28316168679697 -5.180016028041554, 120.28323289680966 -5.180276760294386, 120.28315121473628 -5.180301790585009, 120.28329154034954 -5.180796138621439, 120.28269672730237 -5.180854542583332, 120.28279097584856 -5.181142390602329, 120.2828370529156 -5.181365577019531, 120.28281820320635 -5.1817055711297835, 120.28292292381325 -5.181895383712952, 120.28311142090561 -5.1825315683286295, 120.28308419354782 -5.18270260801766, 120.2830992882474 -5.182773864341346))",Sulawesi Selatan,73,Sinjai,07,Sinjai Timur,03,Pasimarannu,2010,2010-Dusun Marana Desa Passimarannu,5.59621685248,31.0,Hasil Verifikasi Pendataan Tahun 2024,,Daerah Kumuh Marana
