FID,Provinsi,Kode_Prov,Kab_Kota,Kode_Kab,KECAMATAN,Kode_Kec,KELURAHAN,Kode_Kel,KODE_RT_RW,LUAS_KUMUH,skor_kumuh,SUMBR_DATA,SK_KUMUH,Kawasan,WKT
12,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Biringere,1001,1001-RT03_RW01 BIRINGERE,0.835877440720000,42.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Mangottong,"MULTIPOLYGON (((120.24678208385787 -5.135417724413573, 120.24695495769576 -5.1357810826214276, 120.2472086321543 -5.1359323437890172, 120.24730376007626 -5.1357079453407222, 120.24711016641054 -5.1355417242169938, 120.24739054344367 -5.1349765720721452,"
13,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT01_RW02 PARUNTU,1.771341888140000,39.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Paruntu,"MULTIPOLYGON (((120.25256138575131 -5.1187891832468573, 120.25245012502388 -5.1193299699984145, 120.25248414132191 -5.1196568971878529, 120.25325565269053 -5.1199564546251981, 120.2533370243048 -5.1199905025876458, 120.25355499568359 -5.1194252831003073,"
14,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT02_RW01 Popanda,4.047124222770000,35.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Paruntu,"MULTIPOLYGON (((120.2410685234763 -5.1085728821009289, 120.24172847791762 -5.1090931007990532, 120.24195721528972 -5.109132338148564, 120.24266661541543 -5.1095593280703611, 120.24272408310053 -5.1094978487870044, 120.2429480880318 -5.1095717278577091, 1"
15,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT02_RW02 PARUNTU,2.247971122760000,25.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Paruntu,"MULTIPOLYGON (((120.25361205916278 -5.1178623849441705, 120.25325183365509 -5.1177900698483176, 120.25260209324036 -5.1176151397153031, 120.252384828407 -5.1175683027344681, 120.25238546584602 -5.1176210845345071, 120.25238687557491 -5.1177031557888064,"
16,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Bongki,1005,1005-RT04_RW02 PARUNTU,1.675287360100000,27.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Paruntu,"MULTIPOLYGON (((120.25222166966347 -5.1149253520353533, 120.25193832567761 -5.1151425546381661, 120.2518641805202 -5.1152838880144698, 120.25213115904761 -5.1154830892912342, 120.2523864693662 -5.1156663680037324, 120.25254465418639 -5.1158119326068423,"
17,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Balangnipa,1003,1003-RT05_RW02 PARUNTU,2.435272123980000,23.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Daerah Kumuh Paruntu,"MULTIPOLYGON (((120.2525292045234 -5.1145896606165033, 120.25250002886938 -5.1148309269766736, 120.25249786638808 -5.1148488094653572, 120.25250034101738 -5.1148688797812154, 120.25264127163825 -5.1150188219010664, 120.25273552850341 -5.1151141432496026,"
18,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW02 KOKOE,2.776194586650000,16.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.2693883538621 -5.1095785963022857, 120.26812999503473 -5.1092885285551031, 120.26811580929201 -5.1094946512084389, 120.26811580929201 -5.1096608791063742, 120.26809745127198 -5.1099301682095133, 120.26806924492121 -5.11010680875901, 1"
19,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW02 KOKOE,0.835412626033000,17.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.2688139101208 -5.1113051132781546, 120.2678049686569 -5.111016138504155, 120.26780497463479 -5.1112766120274147, 120.26802109859781 -5.1113206623020417, 120.26797854136956 -5.111590366275939, 120.26780664354565 -5.1115774836541972, 12"
20,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT02_RW01 KOKOE,1.147805669720000,21.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27012683561277 -5.1117136924394746, 120.27061220237607 -5.1118458428596103, 120.27114291482307 -5.1099505690358695, 120.27069617586453 -5.1098602381046518, 120.27012683561277 -5.1117136924394746)))"
21,Sulawesi Selatan,73,Sinjai,07,Sinjai Utara,05,Lappa,1004,1004-RT03_RW01 KOKOE,1.291762199980000,27.000000000000000,Hasil Verifikasi Pendataan Tahun 2024, ,Kawasan Minapolitan Lappa,"MULTIPOLYGON (((120.27061220237607 -5.1118458428596103, 120.27096657049732 -5.1119696293043857, 120.27105054398579 -5.1120231585703895, 120.27117986315801 -5.1118056958994158, 120.27123024725108 -5.1117136924394666, 120.27123864459989 -5.1116551447762584"
