WKT,Id,nama_jalan,jalan
"LINESTRING (195366.51148731163 9433747.564618722, 195346.5594906662 9433750.727824971, 195333.25755884527 9433752.976349236, 195320.80674317194 9433753.551813038, 195312.03470844636 9433757.286840329, 195296.8312121551 9433760.155982155, 195287.54606744333 9433760.53540593, 195277.19971447153 9433762.377399983, 195266.2991541694 9433761.993423719, 195263.66225882847 9433761.88388927, 195260.95279052638 9433760.808260249, 195251.69472523627 9433756.609324887, 195230.2110209227 9433747.924228467, 195215.19514662604 9433743.930152847, 195180.2404852655 9433740.007870123)",1,jalan lingkungan masuk tahfiz quran,0.0
"LINESTRING (194884.4692668717 9432767.743751543, 194883.26894087694 9432754.027557297, 194882.2229894034 9432737.60727811, 194908.98638635757 9432734.80373801)",2,jalan lingkungan griya citra,0.0
"LINESTRING (194864.8499695413 9432768.724237796, 194922.71415964863 9432764.486806806, 194922.3427167207 9432756.710379882)",3,jalan lingkungan griya citra,0.0
"LINESTRING (194784.8362216123 9433616.890855463, 194720.6548457645 9433638.638020243)",4,jalan rusun ASN,0.0
"LINESTRING (194785.59847607213 9433618.427994289, 194740.69771528512 9433633.692520108, 194747.48226392432 9433650.619685821, 194759.37588461768 9433675.428333813, 194776.47506274865 9433716.37142582, 194749.8099956055 9433722.806702461)",5,pagar rusun ASN,0.0
"LINESTRING (194923.4395190847 9434157.151409239, 194898.3549165646 9434154.787594806, 194877.0559996275 9434152.181276802, 194862.69630830438 9434155.054012397, 194923.4395190847 9434157.151409239, 194923.99678682635 9434104.019588191, 194965.95130362874 9434268.67799304, 194933.38627405156 9434236.31410962, 194925.5494289028 9434218.727404539, 194923.30935074767 9434187.54134397, 194923.4395190847 9434157.151409239)",6,jalan lingkungan BTN saopanda,0.0
"LINESTRING (194838.98670882185 9433792.389377456, 194899.73081232794 9433772.673377443, 194947.93915682746 9433754.868511667, 194948.26882208267 9433754.869924646)",7,jalan lingkungan samping dinas PUPR,0.0
"LINESTRING (194935.82419223036 9433759.342953911, 194951.02107100864 9433804.986453187, 194966.65011880378 9433850.534144767, 194973.83281975775 9433873.043302847)",8,,0.0
"LINESTRING (194949.71464797016 9433801.062642999, 194993.4099412872 9433785.82047655, 195033.6768065871 9433774.858639995)",9,,0.0
