Data Aset Tanah Pemda yang telah disertifikatkan 5 tahun terkahir;;;;;;;;;;;;;;
No;Nomor Sertifikat;Nama Pemilik / Instansi;Luas (m²);Lokasi / Alamat;Desa / Kelurahan;Kecamatan;Tanggal Terbit Sertifikat;Nomor Hak (HGB/Hak Pakai/Hak Milik);Peruntukan / Penggunaan Tanah;Koordinat Longitude;Koordinat Latitude;Nilai Aset (Rp);Status Tanah (Aktif / Sengketa / Tidak Digunakan);Keterangan
23;00094;Dinas Pekerjaan Umum dan Penataan Ruang;999,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;26-01-2021;HAK PAKAI;Tanah Ruas Jl. Baso Kalaka Dalam;120.251492;-5.127.288;;Aktif;
24;00134;Dinas Pekerjaan Umum dan Penataan Ruang;2.115,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;12-12-2022;HAK PAKAI;Tanah Ruas Jl. Bulu Kunyi;120.253934;-5.122.716;;Aktif;
25;00054;Dinas Pekerjaan Umum dan Penataan Ruang;3.001,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;01-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara Bidang 1;120.253925;-5.117.464;;Aktif;Penamaan Peta Jl. Pramuka
26;00063;Dinas Pekerjaan Umum dan Penataan Ruang;2.060,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;02-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Bicara I Bidang 1;120.249876;-5.113.157;;Aktif;
27;00148;Dinas Pekerjaan Umum dan Penataan Ruang;1.793,00;Kel. Bongki;Kel. Bongki;SINJAI UTARA;27-07-2023;HAK PAKAI;Tanah Ruas Jl. Gunung Kerinci;120.256417;-5.116.934;;Aktif;
28;00065;Dinas Pekerjaan Umum dan Penataan Ruang;1.737,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;03-08-2023;HAK PAKAI;Tanah Ruas Jl. Bulu Salaka;120.255282;-5.119.370;;Aktif;Koreksi Nomor sertipikat pada Peta 
29;00093;Dinas Pekerjaan Umum dan Penataan Ruang;1.808,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;25-01-2021;HAK PAKAI;Tanah Ruas Jl. Baso Kalaka;120.250983;-5.126.493;;Aktif;
30;00135;Dinas Pekerjaan Umum dan Penataan Ruang;3.113,00;Kel. Balangnipa;Kel. Balangnipa;SINJAI UTARA;12-12-2022;HAK PAKAI;Tanah Ruas Jl. Bulu Kunyi;120.254838;-5.120.659;;Aktif;3117
31;00111;Dinas Pekerjaan Umum dan Penataan Ruang;1.523,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 3;120.253143;-5.130.916;;Aktif;
32;00113;Dinas Pekerjaan Umum dan Penataan Ruang;886,00;Kel. Biringere;Kel. Biringere;SINJAI UTARA;16-12-2022;HAK PAKAI;Tanah Ruas Jl. R. W. Monginsidi Bidang 4;120.253870;-5.129.748;;Aktif;
