WKT,id,Lokasi,luas,layer,path,Baseline,Kawasan,Kode_RT_RW
"POLYGON ((120.263642763855 -5.12077298067045,120.263435250399 -5.12068816555131,120.263667041336 -5.12033576835011,120.263692256614 -5.12029760867614,120.263705982548 -5.12026222452874,120.263821838074 -5.12004342123838,120.263965478421 -5.11962921806437,120.264039299148 -5.11935612930501,120.264184175638 -5.1194015164797,120.264509605733 -5.11950346770029,120.264170754524 -5.12059632300355,120.264221525929 -5.12061276554123,120.2641295627 -5.12092281133009,120.264074125357 -5.12090796785737,120.263781015277 -5.12082948689722,120.263642763855 -5.12077298067045))",0,RT01_RW01 TOKINJONG,0.989113563535831,RT001-RW003,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT01_RW01 TOKINJONG.shx|layername=RT01_RW01 TOKINJONG,RT001-RW003 TOKINJONG,Kawasan Benteng Balangnipa,RT001-RW003
"POLYGON ((120.260108398893 -5.11938132730717,120.260242410496 -5.11895752061075,120.260271053689 -5.11889796194962,120.260708425154 -5.11899738182487,120.261274423499 -5.11912891149853,120.261428783992 -5.11916543520671,120.261371625792 -5.1194850894685,120.261331066032 -5.11960254684796,120.261250160199 -5.11978725415126,120.261172250028 -5.11994041471745,120.261075569945 -5.12013366156725,120.26099336151 -5.12028823818856,120.260941295038 -5.12041999144976,120.260923815324 -5.12049307731316,120.260864663722 -5.12047224105385,120.260525150614 -5.12037517397236,120.260007868201 -5.12022663750067,120.259844028724 -5.12018168843367,120.25997971485 -5.11977090921461,120.260108398893 -5.11938132730717))",0,RT01_RW02 TOKINJONG,2.011901594051361,RT001-RW006,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT01_RW02 TOKINJONG.shx|layername=RT01_RW02 TOKINJONG,RT001-RW006 TOKINJONG,Kawasan Benteng Balangnipa,RT001-RW006
"POLYGON ((120.258621982686 -5.11930128748431,120.258681895099 -5.11911700940759,120.25896313054 -5.11921145256264,120.258973885934 -5.11917681554755,120.258996494437 -5.11910400637699,120.259542505023 -5.11922541018232,120.259556689565 -5.11925416136685,120.259948334224 -5.1193404752993,120.260108398893 -5.11938132730717,120.259827843194 -5.12023068880079,120.259596806889 -5.12089172045224,120.259376953925 -5.12159841618729,120.259325133986 -5.12158543645087,120.258704299127 -5.12137100644962,120.258601661106 -5.12144082087652,120.25793466898 -5.12111557625964,120.258115321615 -5.12068916681659,120.258440855852 -5.11983845673535,120.258621982686 -5.11930128748431))",0,RT01_RW03 TOKINJONG,4.089001065902282,RT001-RW007,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT01_RW03 TOKINJONG.shx|layername=RT01_RW03 TOKINJONG,RT001-RW007 TOKINJONG,Kawasan Benteng Balangnipa,RT001-RW007
"POLYGON ((120.262889153771 -5.1206322298186,120.262649967284 -5.12052481244572,120.2626155044 -5.12049836535231,120.262607397878 -5.12044214508314,120.262595178714 -5.12023169572466,120.262602216397 -5.12011107203266,120.262652526834 -5.12008481550198,120.262754600531 -5.12003154420434,120.262775010946 -5.11999815925589,120.262737286758 -5.1198975810677,120.262668595021 -5.11978969777349,120.262571594918 -5.11960996710095,120.262461368376 -5.11945647948953,120.262353353383 -5.11934364623048,120.262266696865 -5.11925481310334,120.262209825822 -5.11917088915931,120.262186765819 -5.11914873287152,120.262232810687 -5.11912281135969,120.262398171648 -5.11902971936215,120.262960647793 -5.11871306581263,120.263522592514 -5.11842174058322,120.263501066714 -5.11837441217,120.263734055212 -5.11825705982776,120.263821411121 -5.11846185338605,120.263931078887 -5.11874683678182,120.264032573901 -5.11899114032796,120.264064205011 -5.11912277389595,120.264073285349 -5.11923040226586,120.263965478421 -5.11962921806437,120.263821838074 -5.12004342123838,120.263667041341 -5.12033576834335,120.263407587363 -5.12073022226818,120.263325824264 -5.12084090882882,120.263282449243 -5.12082018049953,120.262889153771 -5.1206322298186))",0,RT02_RW01 TOKINJONG,3.408688831502141,RT002-RW003,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT02_RW01 TOKINJONG.shx|layername=RT02_RW01 TOKINJONG,RT002-RW003 TOKINJONG,Kawasan Benteng Balangnipa,RT002-RW003
"POLYGON ((120.256411638676 -5.11008430233718,120.256854937223 -5.10999302309561,120.256842692778 -5.10996679248607,120.256941171087 -5.10995775082,120.257079781507 -5.11033275345076,120.257246101433 -5.11092018359076,120.257451049102 -5.11150777914621,120.25770523945 -5.11229068028194,120.257712994479 -5.11243269566138,120.257561616813 -5.11239287286304,120.25736244544 -5.11235281018277,120.257255566017 -5.11236574155163,120.256917812834 -5.1123891922371,120.256913938949 -5.11238919223625,120.256860825916 -5.11211157643253,120.256741247502 -5.11152291179366,120.256646347442 -5.11107445753632,120.25648716868 -5.1103780346636,120.256411638676 -5.11008430233718))",0,RT02_RW01 ULUSALO,1.973974799036742,RT002-RW004,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT02_RW01 ULUSALO.shx|layername=RT02_RW01 ULUSALO,RT002-RW004 ULUSALO,Kawasan Benteng Balangnipa,RT002-RW004
"POLYGON ((120.258612646972 -5.12261020873024,120.258318577932 -5.12251211792711,120.258303216525 -5.12247977536222,120.258335717805 -5.12240699324651,120.258399359886 -5.12230087247888,120.258424763804 -5.12221491015144,120.258247737764 -5.12206950379707,120.258111150882 -5.12194698403522,120.258032917191 -5.12184025507068,120.257935750536 -5.12169997281056,120.25788259455 -5.12158378790026,120.257775856469 -5.12147646220387,120.25793466898 -5.12111557625964,120.258601661106 -5.12144082087652,120.258704299127 -5.12137100644962,120.259325133986 -5.12158543645087,120.259376953925 -5.12159841618729,120.259015761157 -5.12275883064082,120.258971493139 -5.12273504781113,120.258612646972 -5.12261020873024))",0,RT02_RW03 Tokinjong,1.711579037645244,RT002-RW007,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT02_RW03 TOKINJONG.shx|layername=RT02_RW03 TOKINJONG,RT002-RW007 TOKINJONG,Kawasan Benteng Balangnipa,RT002-RW007
"POLYGON ((120.261982t988679 -5.12163250224626,120.262227185687 -5.12106823813382,120.262254925948 -5.12099111691032,120.262365337387 -5.12103662751387,120.262770779746 -5.12120374703597,120.263054291068 -5.1213228676431,120.263238470845 -5.12141259630582,120.263354411251 -5.12140018161485,120.263602929237 -5.12150022715628,120.263782756115 -5.12160428237552,120.263737269467 -5.12187090977752,120.263662216218 -5.12185783724992,120.26358573237 -5.12190771600088,120.263425398214 -5.12186527189061,120.263376158677 -5.1221401230911,120.263095333018 -5.12210055637657,120.263060200588 -5.12223550841675,120.262999460496 -5.12244012874325,120.26317093529 -5.12248963648203,120.26296768778 -5.12284596358618,120.262911182523 -5.12282143137041,120.26288867601 -5.12286266482281,120.262862734557 -5.12296601452362,120.26278058155 -5.12293151525247,120.262741459034 -5.12305283282584,120.262802181478 -5.12307477927886,120.262714428724 -5.12334239730586,120.262748048817 -5.12335571457327,120.262699119543 -5.1237586067825,120.262643394423 -5.1238205739989,120.262630624293 -5.12391337619976,120.262578313438 -5.12398462772539,120.262529442937 -5.124030182717,120.262491829508 -5.1240561005273,120.26227001668 -5.12393614974402,120.262220826365 -5.12405824525236,120.262014584232 -5.12391203888463,120.261845279479 -5.1236889625101,120.261764684245 -5.12338453999619,120.261905478869 -5.12322420289309,120.261991219168 -5.1231338183947,120.262010846408 -5.12311012356192,120.262034207841 -5.12299976518588,120.262006245354 -5.12279417623053,120.262100103829 -5.12264428517129,120.262140828899 -5.12248809631411,120.262140143463 -5.12231308134111,120.262112435607 -5.1222054997482,120.262122645902 -5.12218571540328,120.262153728203 -5.1221467346058,120.262201804432 -5.12210998081851,120.262265688116 -5.1220611423764,120.262283519549 -5.12179344068836,120.261982988679 -5.12163250224626))",0,RT03_RW01 TOKINJONG,3.554574118762708,RT003-RW003,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT03_RW01 TOKINJONG.shx|layername=RT03_RW01 TOKINJONG,RT003-RW003 TOKINJONG,Kawasan Benteng Balangnipa,RT003-RW003
"POLYGON ((120.256045759494 -5.10878713599962,120.256360684379 -5.10868508361485,120.256539513061 -5.10931730677214,120.256854937223 -5.10999302309561,120.256411638676 -5.11008430233718,120.256316532465 -5.10968443192619,120.256232148785 -5.10934217724992,120.256114505423 -5.10897108991202,120.256045759494 -5.10878713599962))",0,RT03_RW01 ULUSALO,0.582323645010383,RT003-RW004,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT03_RW01 ULUSALO.shx|layername=RT03_RW01 ULUSALO,RT003-RW004 ULUSALO,Kawasan Benteng Balangnipa,RT003-RW004
"POLYGON ((120.262659073065 -5.12115770262205,120.262221074773 -5.12097716375583,120.261462314382 -5.12066691387662,120.261959492477 -5.11926432394015,120.26212577511 -5.11918306831466,120.262186765819 -5.11914873287152,120.262209825822 -5.11917088915931,120.262266696865 -5.11925481310334,120.262353353383 -5.11934364623048,120.262461368376 -5.11945647948953,120.262571594918 -5.11960996710095,120.262668595021 -5.11978969777349,120.262737286758 -5.1198975810677,120.262775010946 -5.11999815925589,120.262754600531 -5.12003154420434,120.262602216397 -5.12011107203265,120.262595178714 -5.12023169572466,120.262607397878 -5.12044214508314,120.2626155044 -5.12049836535231,120.262649967284 -5.12052481244572,120.262889153771 -5.1206322298186,120.263325824264 -5.12084090882882,120.263299187049 -5.12090399373036,120.263085996996 -5.12124354251495,120.263027620475 -5.12128919757153,120.263006480585 -5.12130277951755,120.262999184335 -5.12129971391338,120.262960092259 -5.12128328892373,120.262868617396 -5.12124485468752,120.262770779746 -5.12120374703597,120.262659073065 -5.12115770262205))",0,RT03_RW02 TOKINJONG,2.307099127919182,RT006-RW006,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL. BALANGNIPA/RT03_RW02 TOKINJONG.shx|layername=RT03_RW02 TOKINJONG,RT006-RW006 TOKINJONG,Kawasan Benteng Balangnipa,RT006-RW006
"POLYGON ((120.25274774747 -5.12682502779554,120.254930682942 -5.12766279326358,120.254550171254 -5.12842409505704,120.254056173624 -5.12816811158587,120.253762445304 -5.12804510650477,120.253658972827 -5.12807835112362,120.252911300739 -5.12776585163809,120.252461753167 -5.12759181487358,120.25274774747 -5.12682502779554))",0,RT02_RW01 LOMPU,2.302111318478008,RT002-RW006,D:/PROYEK/RP2KPKPK SINJAI/DRAFT RP2KPKPK SINJAI 2023/DELINIASI KUMUH SK 2023 EDIT/KEL BIRINGERE/RT01_RW01 LOMPU.shx|layername=RT01_RW01 LOMPU,RT002-RW006 LOMPU,Daerah Kumuh Mangottong,RT002-RW006
